Exam_Id,Exam_Type,Exam_Date,Exam_StartTime,Exam_EndTime,Exam_TotalHours,Exam_Year,Exam_TotalGrades,Instructor_Id
104,Midterm,10/3/2024,10:00:00 AM,12:00:00 AM,3,2024,50,17
105,Final,9/17/2024,9:00:00 AM,12:00:00 AM,2,2024,50,17
106,Midterm,10/3/2024,9:00:00 AM,12:00:00 AM,3,2024,50,17
107,Final,9/17/2024,10:00:00 AM,12:00:00 AM,2,2024,50,19
108,Midterm,10/3/2024,9:00:00 AM,12:00:00 AM,3,2024,50,19
109,Final,9/17/2024,10:00:00 AM,12:00:00 AM,3,2024,50,20
110,Midterm,10/3/2024,9:00:00 AM,12:00:00 AM,2,2024,50,20
111,Final,9/17/2024,10:00:00 AM,12:00:00 AM,3,2024,50,20
112,Midterm,10/3/2024,9:00:00 AM,12:00:00 AM,2,2024,50,20
113,Final,9/17/2024,9:00:00 AM,12:00:00 AM,3,2024,30,21
114,Midterm,10/3/2024,10:00:00 AM,12:00:00 AM,2,2024,30,21
115,Final,9/17/2024,9:00:00 AM,12:00:00 AM,3,2024,30,33
116,Midterm,10/3/2024,10:00:00 AM,12:00:00 AM,3,2024,30,33
117,Final,9/17/2024,9:00:00 AM,12:00:00 AM,3,2024,30,46
118,Midterm,10/3/2024,10:00:00 AM,12:00:00 AM,2,2024,30,46
119,Final,3/11/2023,9:00:00 AM,12:00:00 AM,3,2024,30,23
120,Midterm,9/5/2023,9:00:00 AM,12:00:00 AM,2,2024,30,23
121,Final,3/1/2024,10:00:00 AM,12:00:00 AM,3,2024,30,24
122,Midterm,8/26/2024,9:00:00 AM,12:00:00 AM,2,2024,30,24
123,Final,3/11/2023,10:00:00 AM,12:00:00 AM,3,2023,30,25
124,Midterm,9/5/2023,9:00:00 AM,12:00:00 AM,2,2023,30,25
125,Final,3/11/2023,10:00:00 AM,12:00:00 AM,3,2023,30,25
126,Midterm,9/5/2023,9:00:00 AM,12:00:00 AM,2,2023,30,25
127,Final,3/11/2023,9:00:00 AM,12:00:00 AM,3,2023,30,27
128,Midterm,9/5/2023,10:00:00 AM,12:00:00 AM,2,2023,30,27
129,Final,3/11/2023,9:00:00 AM,12:00:00 AM,3,2023,30,28
130,Midterm,3/11/2023,10:00:00 AM,12:00:00 AM,3,2023,30,28
131,Final,9/5/2023,9:00:00 AM,12:00:00 AM,2,2023,30,29
132,Midterm,3/11/2023,10:00:00 AM,12:00:00 AM,2,2023,30,29
133,Final,9/5/2023,9:00:00 AM,12:00:00 AM,3,2023,30,30
134,Midterm,3/11/2023,9:00:00 AM,12:00:00 AM,2,2023,30,30
135,Final,9/5/2023,10:00:00 AM,12:00:00 AM,3,2023,40,30
136,Midterm,3/11/2023,9:00:00 AM,12:00:00 AM,2,2024,40,30
137,Final,3/11/2023,10:00:00 AM,12:00:00 AM,3,2023,40,32
138,Midterm,2/7/2024,9:00:00 AM,12:00:00 AM,3,2024,40,32
139,Final,4/30/2023,10:00:00 AM,12:00:00 AM,2,2023,40,37
140,Midterm,7/21/2022,9:00:00 AM,12:00:00 AM,3,2022,40,37
141,Final,10/11/2021,9:00:00 AM,12:00:00 AM,2,2021,40,33
142,Midterm,1/1/2021,10:00:00 AM,12:00:00 AM,3,2021,40,33
143,Final,3/11/2023,9:00:00 AM,12:00:00 AM,2,2023,40,33
144,Midterm,2/7/2024,10:00:00 AM,12:00:00 AM,3,2024,40,33
145,Final,4/30/2023,9:00:00 AM,12:00:00 AM,3,2023,40,35
146,Midterm,7/21/2022,10:00:00 AM,12:00:00 AM,3,2024,40,35
147,Final,10/11/2021,9:00:00 AM,12:00:00 AM,2,2022,40,36
148,Midterm,1/1/2021,9:00:00 AM,12:00:00 AM,3,2021,40,36
149,Final,3/11/2023,10:00:00 AM,12:00:00 AM,2,2023,40,38
150,Midterm,3/11/2023,9:00:00 AM,12:00:00 AM,3,2023,40,38
151,Final,2/7/2024,10:00:00 AM,12:00:00 AM,2,2024,40,39
152,Midterm,4/30/2023,9:00:00 AM,12:00:00 AM,3,2023,40,39
153,Final,7/21/2022,10:00:00 AM,12:00:00 AM,2,2022,40,40
154,Midterm,9/17/2024,9:00:00 AM,12:00:00 AM,3,2024,40,40
155,Final,10/3/2024,9:00:00 AM,12:00:00 AM,2,2024,40,40
156,Midterm,9/17/2024,10:00:00 AM,12:00:00 AM,3,2024,40,40
157,Final,10/3/2024,9:00:00 AM,12:00:00 AM,2,2024,40,42
158,Midterm,9/17/2024,10:00:00 AM,12:00:00 AM,3,2024,40,42
159,Final,10/3/2024,9:00:00 AM,12:00:00 AM,3,2024,40,44
160,Midterm,9/17/2024,10:00:00 AM,12:00:00 AM,2,2024,40,44
161,Final,10/3/2024,9:00:00 AM,12:00:00 AM,2,2024,40,44
162,Midterm,9/17/2024,9:00:00 AM,12:00:00 AM,3,2024,40,44
163,Final,10/3/2024,10:00:00 AM,12:00:00 AM,2,2024,40,45
164,Midterm,9/17/2024,9:00:00 AM,12:00:00 AM,3,2024,40,45
165,Final,10/3/2024,10:00:00 AM,12:00:00 AM,2,2024,40,46
166,Midterm,9/17/2024,9:00:00 AM,12:00:00 AM,3,2024,40,46
167,Final,10/3/2024,10:00:00 AM,12:00:00 AM,3,2024,40,30
168,Midterm,9/17/2024,9:00:00 AM,12:00:00 AM,2,2024,40,30
169,Final,10/3/2024,9:00:00 AM,12:00:00 AM,3,2024,40,47
170,Midterm,3/11/2023,10:00:00 AM,12:00:00 AM,2,2023,40,47
171,Final,9/5/2023,9:00:00 AM,12:00:00 AM,3,2024,40,48
172,Midterm,3/1/2024,10:00:00 AM,12:00:00 AM,2,2024,40,48
173,Final,8/26/2024,9:00:00 AM,12:00:00 AM,3,2024,40,49
174,Midterm,3/11/2023,10:00:00 AM,12:00:00 AM,3,2023,40,49
175,Final,9/5/2023,9:00:00 AM,12:00:00 AM,3,2023,40,51
176,Midterm,3/11/2023,9:00:00 AM,12:00:00 AM,2,2023,50,51
177,Final,9/5/2023,10:00:00 AM,12:00:00 AM,3,2023,50,52
178,Midterm,3/11/2023,9:00:00 AM,12:00:00 AM,2,2023,50,52
179,Final,9/5/2023,10:00:00 AM,12:00:00 AM,3,2023,50,52
180,Midterm,3/11/2023,9:00:00 AM,12:00:00 AM,2,2023,50,52
181,Final,3/11/2023,10:00:00 AM,12:00:00 AM,3,2023,50,53
182,Midterm,9/5/2023,9:00:00 AM,12:00:00 AM,2,2023,50,53
183,Final,3/11/2023,9:00:00 AM,12:00:00 AM,3,2023,50,54
184,Midterm,9/5/2023,10:00:00 AM,12:00:00 AM,2,2023,50,54
185,Final,3/11/2023,9:00:00 AM,12:00:00 AM,3,2023,50,55
186,Midterm,9/5/2023,10:00:00 AM,12:00:00 AM,2,2023,50,55
187,Final,3/11/2023,9:00:00 AM,12:00:00 AM,3,2023,50,56
188,Midterm,3/11/2023,10:00:00 AM,12:00:00 AM,3,2023,50,56
189,Final,2/7/2024,9:00:00 AM,12:00:00 AM,2,2024,50,57
190,Midterm,4/30/2023,9:00:00 AM,12:00:00 AM,2,2023,50,57
191,Final,7/21/2022,10:00:00 AM,12:00:00 AM,3,2022,50,58
192,Midterm,10/11/2021,9:00:00 AM,12:00:00 AM,2,2021,50,58
193,Final,1/1/2021,10:00:00 AM,12:00:00 AM,3,2021,50,58
194,Midterm,3/11/2023,9:00:00 AM,12:00:00 AM,2,2023,50,58
